,Food-Low,Food-Med,Food-High,NonFood-Low,NonFood-Med,NonFood-High
0,4.7,3.7,5.0,4.6,4.9,4.4
1,4.9,4.3,4.6,4.6,4.8,4.8
2,4.7,4.8,4.8,4.8,3.5,4.4
3,4.8,4.3,4.6,4.8,4.7,4.8
4,4.7,4.3,4.6,4.4,4.3,4.6
5,4.1,4.4,4.6,4.7,4.5,4.8
6,4.7,4.3,4.4,4.3,4.0,4.6
7,4.2,4.1,4.7,4.6,4.4,4.4
8,4.3,4.7,4.7,4.3,3.9,4.5
9,4.6,4.2,4.6,4.3,4.2,4.4
10,4.3,4.8,3.8,4.8,4.2,4.9
11,4.6,4.9,4.1,4.3,4.5,4.4
12,4.1,4.8,4.5,3.8,5.0,4.9
13,4.4,4.5,4.8,4.2,4.6,4.9
14,4.7,4.2,4.3,4.4,4.8,4.6
15,5.0,4.9,4.2,4.7,4.7,4.2
16,3.5,4.7,4.6,4.3,3.8,4.9
17,4.5,4.6,4.5,4.7,4.1,4.5
18,4.3,4.4,4.7,4.9,4.3,4.7
19,4.3,4.9,4.5,4.9,3.8,4.6
20,4.7,4.7,5.0,4.1,4.8,4.6
21,4.5,4.5,4.9,4.7,4.7,4.5
22,4.0,4.1,4.8,4.6,4.6,4.5
23,4.3,4.7,4.6,3.8,4.1,4.6
24,4.1,4.0,4.8,4.7,4.5,4.9
25,4.4,3.5,4.6,4.9,4.3,4.7
26,3.2,4.9,4.8,4.1,4.1,4.5
27,4.4,4.5,4.4,4.2,4.2,4.6
28,4.6,4.3,4.8,4.4,4.2,4.7
29,4.3,4.4,4.7,4.1,4.7,4.3
30,4.7,4.8,4.7,4.0,4.3,4.7
31,4.8,4.5,4.7,4.6,3.9,4.8
32,5.0,5.0,4.6,4.4,3.0,4.6
33,3.9,4.0,3.4,4.0,4.8,4.4
34,4.4,4.1,4.4,4.7,4.2,5.0
35,4.0,4.8,5.0,4.8,4.5,4.3
36,5.0,4.4,4.5,4.8,4.4,4.9
37,4.3,3.5,4.8,4.3,3.4,4.7
38,4.4,4.4,4.8,4.5,3.8,4.8
39,4.9,4.4,4.7,4.5,4.2,5.0
40,4.7,4.4,4.6,4.1,4.3,4.7
41,4.1,4.7,4.4,4.7,4.8,4.5
42,4.9,4.1,4.7,4.6,4.5,4.8
43,4.5,4.2,4.8,4.7,4.4,4.6
44,4.7,4.1,4.5,4.7,4.8,4.6
