,position,name,score,ratings,category,price_range,full_address,zip_code,lat,lng,is_food
13236,9,Wing &amp; Things ,3.8,11,"Thai, Asian, Noodles",1,"1713 Wilson Blvd, Arlington, VA, 22209",22209,38.89425,-77.07865,1
18963,16,Red Robin Gourmet Burgers  5601 Brodie Lane ,4.5,86,"American, Burgers, Chicken",1,"5601 Brodie Lane, Sunset Valley, TX, 78745",78745,30.22679,-97.82127,1
9112,10,For Five Coffee Roasters  Alexandria ,4.9,62,"Coffee and Tea, American, Breakfast and Brunch",1,"1800 Diagonal Road, Alexandria, VA, 22314",22314,38.8058517,-77.06043,1
2724,166,Setsuko Pastry at Modern Japanese Cuisine,4.7,10,"Desserts, Japanese, Pastry",1,"6108 Phinney Ave N, Seattle, WA, 98103",98103,47.6734964,-122.3541085,1
17686,128, Great American Cookie &amp; Marble Slab Creamery  2701 Heritage Trace Pkwy ,4.7,24,"Bakery, Desserts, Comfort Food, Pastry",1,"2705 Heritage Trace Pkwy, Fort Worth, TX, 76177",76177,32.91543936,-97.32226141,1
18442,31,Chicken Express  Coppell ,4.4,67,"American, Fast Food, Family Meals, Family Friendly",1,"136 E Belt Line Rd, Coppell, TX, 75019",75019,32.948389,-96.992645,1
18004,41,Jet's Pizza - Fort Worth,4.8,143,"Pizza, Italian, Family Friendly",1,"5040 N Tarrant Pkwy, Fort Worth, TX, 76244",76244,32.893398,-97.274233,1
8538,294,Lee's Sandwiches  801 N. Quincy st ,4.7,23,"Sandwiches, American, Healthy",1,"801 N. Quincy st, Arlington, VA, 22203",22203,38.8804083,-77.1074088,1
16272,44,Taco Palenque  Medical Center ,4.6,200,"Mexican, Latin American, New Mexican, Fast Food, Family Meals, Group Friendly",1,"3847 Parkdale Dr, San Antonio, TX, 78229",78229,29.5270353,-98.5589365,1
3564,21,Taco Bell  13405 NE 175th St ,4.4,155,"Burritos, Fast Food, Mexican",1,"13405 NE 175th St, Woodinville, WA, 98072",98072,47.7540976,-122.1603408,1
1060,12,Crumbl Cookies  WI - Oak Creek ,5.0,45,"Desserts, Coffee and Tea",1,"160 w town square way, oak creek, WI, 53154",53154,42.90054,-87.91476,1
1607,2,Taco Bell  1529 W Mason St ,4.0,75,"Burritos, Fast Food, Mexican",1,"1529 W Mason St, Green Bay, WI, 54303",54303,44.522767,-88.062184,1
2404,11,McDonald'sÂ®  14634 APPLE HARVEST DR ,4.4,45,"American, Burgers, Fast Food, Fast Food",1,"14634 APPLE HARVEST DR, MARTINSBURG, WV, 25405",25405,39.4427715,-77.9876642,1
12906,170,We Want Wings  Stone Ridge ,4.0,25,"American, Wings, Comfort Food",1,"42010 Village Center Plaza, Stone Ridge, VA, 20105",20105,38.94026,-77.55014,1
3843,46,Donatos Pizza  8311 Ne Vancouver Mall Dr. ,4.1,16,"American, burger, Pizza",1,"8311 Ne, Vancouver, WA, 98662",98662,45.65518,-122.58741,1
15476,177,"Jamba Juice  829 West Stacy Road, Suite 100A ",5.0,15,"Juice and Smoothies, Breakfast and Brunch, Bowls, Healthy",1,"829 W Stacy Rd, Allen, TX, 75013",75013,33.12951,-96.66198,1
4363,117,Round Table Pizza  5016 N.E. Thurston Way ,4.5,57,Pizza,1,"5016 N.E. Thurston Way, Vancouver, WA, 98661",98661,45.6588626,-122.5892177,1
895,22,Noodles &amp; Company  5333 N Port Washington Rd ,4.6,117,"Healthy, Pasta, Comfort Food, American, Italian, Noodles, Family Meals",1,"5333 N Port Washington Rd, Glendale, WI, 53217",53217,43.1138938,-87.9172708,1
12642,108,Focaccia Sandwiches  Tenleytown ,4.8,32,"Pizza, American, Italian",1,"4529 Wisconsin Ave NW, Washington, DC, 20016",20016,38.94877,-77.0798,1
1617,38,Hardee's  1235 S. Green Bay ,4.8,10,"Sandwich, Burgers, American, Fast Food, Chicken, Breakfast and Brunch",1,"1235 S. Green Bay, Racine, WI, 53406-4403",53406-4403,42.71783,-87.84627,1
17333,88,"Hootie's Chicken Tenders  5340 Southwest Blvd., ",4.7,18,"American, Chicken Strips, Wings, Chicken",1,"5340 Southwest Blvd., Ft. Worth, TX, 76109",76109,32.68585,-97.40297,1
3244,208,Gyro Time,4.4,32,"Mediterranean, Halal",1,"10400 Greenwood Ave N, Seattle, WA, 98133",98133,47.7046451,-122.3550203,1
6747,284,Cosmic Wings  Federal Way ,4.5,20,"American, Bar Food, Wings, Fast Food, Chicken, Family Meals, Exclusive to Eats, Comfort Food",1,"1801 S. 320th Ave, Federal Way, WA, 98003",98003,47.3148,-122.31044,1
16751,64,"Veggie Wonderland  220 Broadway, ",4.6,31,"Indian, Vegetarian, Indian Curry, Healthy, Vegan",1,"220 Broadway, San Antonio, TX, 78205",78205,29.42816,-98.48725,1
9625,40,South Beach Pizza  1021 Virginia Beach Blvd ,4.1,19,"Pizza, American, Italian",1,"1021, Virginia Beach, VA, 23451",23451,36.841375,-75.992728,1
3781,20,Chipotle Mexican Grill  1121 N Mission St ,4.3,45,"Healthy, Mexican",1,"1121 N Mission St, Wenatchee, WA, 98801",98801,47.4378041,-120.323659,1
8450,117,Liberty Barbecue,4.5,86,"BBQ, American, Burgers",1,"370 W Broad St, Falls Church, VA, 22046",22046,38.8852298,-77.1748117,1
14034,54,Asian Cuisine &amp; Sushi Bar,4.7,100,"Sushi, Asian, Japanese",1,"1781 E Murray Holladay Rd, Salt Lake City, UT, 84117",84117,40.6663718,-111.8410351,1
1858,34,Chipotle Mexican Grill  3515 Milton Ave Ste 105 ,4.5,26,"Healthy, Mexican",1,"3515 Milton Ave Ste 105, Janesville, WI, 53545",53545,42.7236554,-88.9950294,1
7502,93,Gravity Coffee  Federal Way South ,4.7,32,"Coffee and Tea, Juice and Smoothies, Exclusive to Eats",1,"35007 Enchanted Parkway S, Federal Way, WA, 98003",98003,47.2877633,-122.3139776,1
7249,10,Taco Bell  2727 Broadway St ,4.4,169,"Burritos, Fast Food, Mexican",1,"2727 Broadway St, Everett, WA, 98201",98201,47.9809266,-122.201119,1
8196,13,Burger King  8232 Gunston Corner Ln ,4.3,69,"American, burger, Fast Food, Family Meals",1,"8232 Gunston Corner Ln, Lorton, VA, 22079",22079,38.7056017,-77.2289007,1
8878,3,Kabob Palace  Crystal City ,4.5,500,"Pure Veg, Mediterranean, Greek, Salads, Wings, Vegan, Vegan Friendly, Vegetarian, Vegetarian Friendly, Healthy",1,"2315 S Eads Street, Arlington, VA, 22202",22202,38.8529336,-77.053272,1
9765,8,Cracker Barrel Old Country Store  3153 Lee Hwy ,4.8,51,"Burgers, American, Sandwiches, Family Meals",1,"3153 Lee Hwy, Troutville, VA, 24175",24175,37.3923825,-79.9009663,1
17317,112,Thrilled Cheese  5920 Quebec Street ,4.0,17,"New American, Sandwiches, Comfort Food",1,"5920 Quebec Street, Fort Worth, TX, 76135-3605",76135-3605,32.80574,-97.42674,1
7331,262,Papa Murphy's Pizza  WA111 17171 Bothell Way ,5.0,13,Pizza,1,"17171 Bothell Way, Lake Forest Park, WA, 98155",98155,47.753657,-122.2799081,1
17028,75,Williams Fried Chicken - 10161 Lake June Rd,4.2,51,"Comfort Food, American, Wings",1,"10161 Lake June Rd, Dallas, TX, 75217",75217,32.734445,-96.6487235,1
12268,64,Grill Kabob  Manassas Mall ,4.8,12,"Mediterranean, Greek, Vegetarian, Healthy",1,"8300 Sudley Road Ste. 83, Manassas, VA, 20109",20109,38.772426,-77.5056949,1
14032,59,Kneaders Bakery &amp; Cafe  City Creek - Salt Lake City ,4.5,42,"American, Breakfast and Brunch, Desserts",1,"28 S State St, Salt Lake City, UT, 84111",84111,40.76848,-111.88941,1
5435,11,Yummy Ice Cream &amp; Shakes,3.7,18,"Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts",1,"10225 SE 256th St, Kent, WA, 98030",98030,47.37231,-122.2041,1
